20210422	02	100	4	29.0	28.8	29.1	29.0	27.8	3.98e-6	6.60e-7	95	95	10	20210422	4.9	1
20210423	01	100	4	26.4	26.2	26.4	26.3	25.2	3.98e-6	6.60e-7	95	95	10	20210422	23.5	1
20210423	02	100	4	31.1	30.5	31.1	31.2	27.9	3.98e-6	6.60e-7	95	95	10	20210423	5.8	1
20210426	01	100	4	27.1	27.0	27.1	27.1	27.2	3.98e-6	6.60e-7	95	95	10	20210423	71.3	1
20210426	02	100	4	32.1	31.4	32.1	32.2	29.3	3.98e-6	6.60e-7	95	95	10	20210426	5.2	1
20210427	01	100	4	27.4	27.4	27.5	27.3	27.5	3.98e-6	6.60e-7	95	95	10	20210426	29.8	1
20210428	01	100	4	27.1	27.1	27.2	27.1	27.1	3.98e-6	6.60e-7	95	95	10	20210426	47.6	1
20210429	01	100	4	26.6	26.5	26.7	26.6	27.1	3.98e-6	6.60e-7	95	95	10	20210426	72.6	1
20210430	01	100	4	26.0	26.0	26.1	26.0	26.1	3.98e-6	6.60e-7	95	95	10	20210429	24.7	1
20210503	01	100	4	24.5	24.5	24.5	24.6	25.0	3.98e-6	6.60e-7	95	95	10	20210429	95.0	1
20210505	01	100	4	24.3	24.1	24.3	24.2	24.4	3.98e-6	6.60e-7	95	95	10	20210429	148.8	1
20210520	01	100	4	27.0	27.0	27.2	26.8	27.0	3.98e-6	6.60e-7	95	95	10	20210519	27.2	1
20210524	01	100	4	26.6	26.5	26.6	26.5	26.8	3.98e-6	6.60e-7	95	95	10	20210521	71.5	1
20210525	01	100	4	29.4	29.6	29.6	29.1	28.5	3.98e-6	6.60e-7	95	95	10	20210525	6.5	1
20210526	01	100	4	27.7	27.7	27.8	27.6	27.9	3.98e-6	6.60e-7	95	95	10	20210525	22.5	1
